method,macro,micro,samples,mAP,hard
scenario_slr_c,51.28005127390507,59.13214990138067,58.46663296498823,53.66037803129969,33.97660825373071
v2_best_reference,51.73106846619861,59.21717171717171,58.190332602339176,53.77725013192094,35.834013555258295
retrieval_phase1_image_only_best,50.72500637562959,58.349940215225196,57.795334690893895,53.49922918130129,33.97126620118831
retrieval_confusion_aware_best,50.921014980554915,58.385850782679405,57.61339309447862,53.558492064487424,34.360668023528305
