r,setting,beta,macro,micro,samples,mAP,hard
3,support_minus_confusion_refute,0.05,50.921014980554915,58.385850782679405,57.61339309447862,53.558492064487424,34.360668023528305
5,support_minus_confusion_refute,0.05,50.91880680846215,58.552235813114095,57.796289967342595,53.585332006005466,34.424586308551554
8,support_minus_confusion_refute,0.02,51.15740779741825,58.971753708595806,58.37173425989215,53.50677378672636,34.14373622265157
